山海四季城Ⅱ华府,盐田 盐田港,住宅,90㎡,东海道244号,60000元
龙岗仁恒梦公园,龙岗 龙岗中心城,公寓,28㎡,岗龙平西路仁恒梦公园,36000元
智汇星辰,宝安 沙井,商铺,24.63㎡,上星路与上星南路交叉口西北侧,130000元
兰亭国际,罗湖 莲塘,住宅,145㎡,延芳路2号,65000元
铂晶府,龙岗 横岗,住宅,66㎡,龙岗大道旁，地铁3号线荷坳站,52000元
天安珑城,宝安 宝安中心区,写字楼,280㎡,创业一路与裕安一路交叉路口往南约70米,100000元
前海天境花园,南山 前海,商铺,40㎡,前湾公园地铁站西南侧,250000元
勤诚达前海世界,宝安 新安,写字楼,120㎡,创业二路与新安三路交汇处(地铁洪浪北A出口),40000元
前海润峯府,南山 前海,商铺,20㎡,听海大道与前湾四路交汇东北处,180000元
旭生融和中心,宝安 西乡,商业,425㎡,西乡街道盐田社区盐田街南侧,39000元
旭生融和中心,宝安 西乡,商业,46㎡,西乡街道盐田社区盐田街南侧,46000元
大亼汇,宝安 沙井,商业,39㎡,沙井街道北环路和环镇路交汇处,32000元
大亼汇,宝安 沙井,商业,40㎡,沙井街道北环路和环镇路交汇处,35000元
圳发云谷,光明区 光明,商业,52㎡,将石路176-100号,26000元
合景同创广场天銮,盐田 沙头角,写字楼,296㎡,盐田区海山街道沙头角8号线盐田港站,30000元
嘉鑫辉煌时代,福田 梅林,公寓,48㎡,中康路63号上梅林地铁站C出口,68000元
红山6979,龙华 红山,商铺,41㎡,龙华区腾龙路与中梅路交汇处东侧,110000元
中粮云景国际,光明区 公明,写字楼,48㎡,松白路与金安路交汇处,21000元
会展湾中港,宝安 福永,写字楼,148.68㎡,展景路与凤塘桥交叉口（会展湾中港场A座一楼大堂）,44000元
中粮祥云广场,龙岗 大运新城,写字楼,79㎡,爱联街道龙岗大道与如意路交汇处（3号线爱联站D出口）,27000元
华侨城新玺,南山 蛇口,写字楼,230㎡,湾厦路南海玫瑰园三期西北旁,139000元
壹成中心八区,龙华 龙华中心,商铺,54.61㎡,梅龙路与工业路交汇处（4号线龙华站）,110000元
京基御景峯,南山 大学城,写字楼,68㎡,深圳市南山区留仙大道长岭陂地铁站A1出口,60000元
东海富汇豪庭,罗湖 莲塘,住宅,71㎡,粤港路与百世路交叉路口东北侧,89000元
中粮福田大悦广场,福田 梅林,商业,78.15㎡,梅华路与梅秀路交界处西南角,44000元
旭生融和中心,宝安 西乡,商业,34.38㎡,西乡街道盐田社区盐田街南侧,48000元
中粮福田大悦广场,福田 梅林,商铺,38㎡,梅华路与梅秀路交界处西南角,90000元
中粮福田大悦广场,福田 梅林,商业,449.27㎡,梅华路与梅秀路交界处西南角,42900元
恒裕深圳湾一期,南山 粤海,公寓,63㎡,后海中心区后海滨路与创业路交汇处东北角,160000元
鸿荣源尚峻一期,龙华 上塘,商铺,50㎡,民塘路与建设路交汇处,120000元
卓越前海壹号,南山 前海,写字楼,2350㎡,深港现代服务业合作区桂湾片区二单元,93000元
荣德国际广场,龙岗 横岗,写字楼,80㎡,龙岗大道与保康路交汇处,26000元
深圳中心天元,福田 福田中心区,公寓,266㎡,深南大道2001号,128000元
深圳湾公馆,南山 后海,住宅,79㎡,后海大道雨东滨路交汇处,180000元
三科麓湾,大鹏新区 大鹏半岛,别墅,178㎡,葵涌街道溪涌高速出口,120000元
方大城,南山 华侨城,写字楼,2400㎡,北环大道与龙珠四路交汇处,57000元
前海金融中心,南山 前海,写字楼,1700㎡,前海桂湾临海大道与桂湾三路交汇处,95000元
东海国际,福田 车公庙,公寓,200㎡,深南大道7888号,130000元
碧桂园凤凰国际智谷,宝安 西乡,写字楼,2080㎡,铁子路50号,35000元
深业泰富广场,罗湖 笋岗,公寓,37㎡,梨园路与梅园路交汇处,66000元
传麒东湖名苑,罗湖 百仕达,住宅,133㎡,街道布心路与爱国路交汇处西南角,68000元
侨城坊尔邸,南山 华侨城,公寓,90㎡,侨香路北、北环大道南,95000元
正大时代华庭,龙岗 横岗,公寓,170㎡,埔园路109号,34000元
华侨城创想大厦,龙华 红山,公寓,90㎡,深圳市龙华区民塘路与白松二路交汇处,68000元
汇邦名都花园,宝安 石岩,公寓,41㎡,龙大高速水朗出口旁,39000元
汉京中心,南山 科技园,写字楼,1535㎡,深南大道9968号,85000元
笋岗中心万象华府,罗湖 笋岗,公寓,40.33㎡,梅园路与宝安北路交汇处,63000元
中房翰林门,盐田 沙头角,公寓,38㎡,沙盐路与官上路交汇处,52000元
海谷科技大厦,宝安 石岩,写字楼,42㎡,石岩街道松白路与建兴路交界处,30000元
佳兆业盐田城市广场四期,盐田 盐田港,商铺,20㎡,洪安路与东海四街交汇处,37000元
兆鑫汇金广场,罗湖 东门,公寓,51㎡,深南东路与建设路交汇处东南侧,65000元
东方凤雅名苑,罗湖 莲塘,住宅,166㎡,云桐一路1号,90000元
合景同创臻林天汇,南山 前海,公寓,113㎡,中山园路,85000元
兆邦基端慧苑,光明区 公明,公寓,33㎡,松白路与周家大道交汇东北侧,38000元
信利康乐创荟,龙华 观澜,写字楼,460㎡,观光路(豪佳工业园),23000元
汇邦名都花园三期,宝安 石岩,公寓,33㎡,龙大高速水朗出口与德政路交汇处,39000元
会展湾云岸广场,宝安 福永,写字楼,1793㎡,福永街道重庆路与展云路交汇处,55000元
京基御景峯,南山 大学城,商铺,93㎡,深圳市南山区留仙大道长岭陂地铁站A1出口,49000元
中粮云景国际,光明区 公明,写字楼,103㎡,松白路与金安路交汇处,20000元
龙光玖誉雅筑,坪山 坪山,住宅,96㎡,马峦街道创美路和体育一路交汇处西南角,39000元
深润大厦,罗湖 黄贝岭,写字楼,2467㎡,深南大道1001号,30000元
塘朗城TOWN寓,南山 西丽,公寓,32㎡,留仙大道南侧地铁五号线塘朗站B出口,70000元
中通永安大厦,盐田 盐田港,写字楼,37㎡,明珠大道与永安路交汇处,36000元
臻湾云庭,盐田 盐田港,住宅,67㎡,明珠大道与盐田五街交汇处,53000元
鹏瑞颐璟,龙华 观澜,住宅,79㎡,樟坑径五和大道与澜清一路交界处,55000元
华侨城瑞湾府,宝安 新安,写字楼,190㎡,宝兴路与兴业路交汇处西北方向,120000元
龙光玖龙玺,龙华 梅林关,商铺,86㎡,白石龙地铁站C出口,100000元
